Name,Place,Registration Starts,Registration End,Hackathon Starts,Hackathon Ends,Link
T-Hacks 6.0,"New Delhi, India",05 SEPTEMBER 2023 10:00 AM IST,09 OCTOBER 2023 11:59 PM IST,30 SEPTEMBER 2023 09:00 AM IST,11 OCTOBER 2023 12:00 AM IST,https://thacks-6.devfolio.co/
HackMaze,"Online",05 OCTOBER 2023 08:00 AM IST,09 OCTOBER 2023 11:59 PM IST,10 OCTOBER 2023 12:00 AM IST,11 OCTOBER 2023 12:00 PM IST,https://hackmaze.devfolio.co/
Hack-0-Octo 1.0,"Sahibzada Ajit Singh Nagar, India",24 SEPTEMBER 2023 12:00 AM IST,10 OCTOBER 2023 11:59 PM IST,20 OCTOBER 2023 10:00 PM IST,22 OCTOBER 2023 10:00 AM IST,https://hackocto.devfolio.co/
Hack Unicorn 2.0,"Noida, India",29 SEPTEMBER 2023 09:00 AM IST,10 OCTOBER 2023 11:59 PM IST,19 OCTOBER 2023 10:00 AM IST,20 OCTOBER 2023 12:00 PM IST,https://hack-unicorn2.devfolio.co/
HackHive,"Indore, India",22 SEPTEMBER 2023 12:00 AM IST,10 OCTOBER 2023 11:59 PM IST,27 OCTOBER 2023 06:00 PM IST,29 OCTOBER 2023 06:00 AM IST,https://hackhive.devfolio.co/
HackWiz 2.0,"Delhi, India",02 OCTOBER 2023 11:59 PM IST,10 OCTOBER 2023 11:59 PM IST,11 OCTOBER 2023 10:00 AM IST,12 OCTOBER 2023 02:30 PM IST,https://hackwiz-1.devfolio.co/
HackWave'23,"Online",18 SEPTEMBER 2023 12:00 AM IST,10 OCTOBER 2023 11:59 PM IST,14 OCTOBER 2023 10:00 AM IST,15 OCTOBER 2023 12:00 PM IST,https://hackwave-23.devfolio.co/
REVA HACK 2023,"Bengaluru, India",11 SEPTEMBER 2023 12:00 AM IST,11 OCTOBER 2023 12:00 AM IST,02 NOVEMBER 2023 06:00 PM IST,04 NOVEMBER 2023 06:00 AM IST,https://reva-hack-1.devfolio.co/
GTA : SandShores,"Vadanappally, India",01 SEPTEMBER 2023 12:00 AM IST,12 OCTOBER 2023 11:59 PM IST,11 NOVEMBER 2023 10:00 AM IST,12 NOVEMBER 2023 04:00 PM IST,https://gta-sandshores.devfolio.co/
Ethereum Kuala Lumpur 2023 Hackathon,"Petaling Jaya, Malaysia",09 JULY 2023 12:00 AM GMT+8,13 OCTOBER 2023 03:00 PM GMT+8,13 OCTOBER 2023 02:00 PM GMT+8,15 OCTOBER 2023 11:00 AM GMT+8,https://ethkl2023.devfolio.co/
Unfold 2023,"Bengaluru, India",19 SEPTEMBER 2023 09:00 AM IST,13 OCTOBER 2023 11:59 PM IST,19 OCTOBER 2023 11:00 AM IST,21 OCTOBER 2023 10:00 AM IST,https://unfold2023.devfolio.co/
Builders Ground,"Delhi, India",22 SEPTEMBER 2023 10:00 AM IST,14 OCTOBER 2023 09:15 AM IST,15 OCTOBER 2023 10:00 AM IST,16 OCTOBER 2023 10:00 AM IST,https://builders-ground.devfolio.co/
Hack-O-Octo 1.0,"Online",01 OCTOBER 2023 12:00 AM IST,14 OCTOBER 2023 11:59 PM IST,27 OCTOBER 2023 10:00 PM IST,29 OCTOBER 2023 10:00 AM IST,https://hack-o-octo.devfolio.co/
TechQuake,"Firozpur, India",28 SEPTEMBER 2023 12:15 AM IST,15 OCTOBER 2023 11:59 PM IST,19 OCTOBER 2023 10:00 AM IST,19 OCTOBER 2023 01:00 PM IST,https://techquack.devfolio.co/
TechnoZest,"Kattankulathur, India",11 JULY 2023 11:59 PM IST,15 OCTOBER 2023 11:59 PM IST,16 OCTOBER 2023 10:00 AM IST,18 OCTOBER 2023 10:00 AM IST,https://technozest.devfolio.co/
Hack-AI-Thon : GenAI Challenge by DeepSolv,"Online",21 SEPTEMBER 2023 04:45 PM IST,15 OCTOBER 2023 11:59 PM IST,15 OCTOBER 2023 12:00 AM IST,23 OCTOBER 2023 12:00 AM IST,https://deepsolv-genai-challenge.devfolio.co/
Hack@Arch 2.0,"Thrissur, India",25 SEPTEMBER 2023 12:00 AM IST,15 OCTOBER 2023 11:59 PM IST,27 OCTOBER 2023 04:30 PM IST,29 OCTOBER 2023 02:30 PM IST,https://hackarch.devfolio.co/
BG Mania,"New Delhi, India",23 SEPTEMBER 2023 10:00 AM IST,18 OCTOBER 2023 10:30 AM IST,28 OCTOBER 2023 10:00 AM IST,29 OCTOBER 2023 10:45 AM IST,https://bg-mania.devfolio.co/
Bharat TechXperience,"Rajpura, India",27 SEPTEMBER 2023 09:00 PM IST,20 OCTOBER 2023 12:00 AM IST,28 OCTOBER 2023 09:00 AM IST,29 OCTOBER 2023 05:00 PM IST,https://bharat-techxperience.devfolio.co/
HacktheCrisis 3.0,"New Delhi, India",01 SEPTEMBER 2023 12:00 AM IST,20 OCTOBER 2023 11:59 PM IST,26 OCTOBER 2023 08:00 AM IST,27 OCTOBER 2023 10:00 AM IST,https://hack-the-crisis-3.devfolio.co/
CodeUtsava 7.0,"Raipur, India",04 SEPTEMBER 2023 12:00 AM IST,20 OCTOBER 2023 11:59 PM IST,01 NOVEMBER 2023 10:00 AM IST,02 NOVEMBER 2023 02:00 PM IST,https://codeutsava-7.devfolio.co/
CODE CRAFTERS!,"Sidhwan Khurd, India",01 OCTOBER 2023 12:00 AM IST,22 OCTOBER 2023 11:59 PM IST,26 OCTOBER 2023 12:00 PM IST,27 OCTOBER 2023 12:00 PM IST,https://code-crafters.devfolio.co/
HackVerse 2.0 ( Tamil Nadu ),"Chennai, India",01 AUGUST 2023 12:00 AM IST,25 OCTOBER 2023 12:00 AM IST,28 OCTOBER 2023 08:00 AM IST,29 OCTOBER 2023 06:00 PM IST,https://hackverse-tamil-nadu.devfolio.co/
Version Beta,"Bhopal, India",05 OCTOBER 2023 02:15 PM IST,25 OCTOBER 2023 12:00 AM IST,03 NOVEMBER 2023 08:00 PM IST,05 NOVEMBER 2023 08:00 AM IST,https://version-beta-4-2023.devfolio.co/
hackCBS 6.0,"New Delhi, India",23 SEPTEMBER 2023 12:00 AM IST,25 OCTOBER 2023 11:59 PM IST,04 NOVEMBER 2023 10:00 AM IST,05 NOVEMBER 2023 12:00 PM IST,https://hackcbs-6.devfolio.co/
HactoVerse 2023,"Online",03 OCTOBER 2023 11:00 PM IST,27 OCTOBER 2023 10:00 AM IST,10 OCTOBER 2023 07:30 PM IST,27 OCTOBER 2023 07:30 PM IST,https://hactoverse.devfolio.co/
Syntax Error X,"Roorkee, India",09 OCTOBER 2023 08:15 PM IST,27 OCTOBER 2023 06:00 PM IST,27 OCTOBER 2023 06:00 PM IST,29 OCTOBER 2023 12:00 PM IST,https://syntax-error-x.devfolio.co/
Sponsathon 2K23,"Ahmedabad, India",23 JULY 2023 12:00 AM IST,30 OCTOBER 2023 12:00 AM IST,01 NOVEMBER 2023 12:00 AM IST,02 NOVEMBER 2023 12:00 AM IST,https://sponsathon-k.devfolio.co/
Hackout 2023,"Kharagpur, India",03 OCTOBER 2023 06:00 AM IST,31 OCTOBER 2023 12:00 AM IST,03 NOVEMBER 2023 05:30 PM IST,05 NOVEMBER 2023 06:00 AM IST,https://hackout2023.devfolio.co/
CodeKraken,"Dhule, India",21 AUGUST 2023 10:00 PM IST,31 OCTOBER 2023 02:00 AM IST,10 SEPTEMBER 2023 10:00 AM IST,31 OCTOBER 2023 02:00 AM IST,https://codekraken.devfolio.co/
ETHIndia,"Bengaluru, India",24 SEPTEMBER 2023 10:30 PM IST,31 OCTOBER 2023 11:59 PM IST,08 DECEMBER 2023 09:00 PM IST,10 DECEMBER 2023 09:00 AM IST,https://ethindia2023.devfolio.co/
Web3Hack Sphinx 2023,"Jaipur, India",05 OCTOBER 2023 12:00 AM IST,01 NOVEMBER 2023 11:59 PM IST,03 NOVEMBER 2023 12:00 PM IST,04 NOVEMBER 2023 12:00 PM IST,https://web3hack-sphinx.devfolio.co/
PEC Hacks,"Chennai, India",05 SEPTEMBER 2023 10:15 AM IST,10 NOVEMBER 2023 12:00 AM IST,27 JANUARY 2024 09:00 AM IST,28 JANUARY 2024 06:00 PM IST,https://pechacks.devfolio.co/
ZK Hack Istanbul,"None Given",17 SEPTEMBER 2023 11:30 PM GMT+3,10 NOVEMBER 2023 03:30 PM GMT+3,10 NOVEMBER 2023 01:00 AM GMT+3,12 NOVEMBER 2023 10:00 AM GMT+3,https://zk-hack-istanbul.devfolio.co/
Geekathon 1.0,"Online",30 SEPTEMBER 2023 09:00 PM IST,11 NOVEMBER 2023 08:15 AM IST,11 NOVEMBER 2023 09:00 AM IST,13 NOVEMBER 2023 09:00 AM IST,https://webathon.devfolio.co/
Dev.Fusion,"New Delhi, India",30 SEPTEMBER 2023 11:30 PM IST,15 NOVEMBER 2023 11:59 PM IST,24 NOVEMBER 2023 09:00 AM IST,25 NOVEMBER 2023 04:00 PM IST,https://devfusion.devfolio.co/
ETHIndia Grants,"None Given",None Given,None Given,None Given,None Given,https://ethindiagrants2023.devfolio.co/
